no,D_JOLT_5_4,D_JOLT_9_4,D_JOLT_11_4,D_JOLT,D_JOLT_a_0p5,D_JOLT_a_2,D_JOLT_l_2,D_JOLT_d_20_6,D_JOLT_d_10_2
server_024,1.520916396388952,1.5242940070650939,1.5235089966327182,1.5252649410209267,1.5233334021938978,1.5243249943190034,1.5236536038176296,1.5252649410209267,1.5245832214349164,0.0
client_003,1.0630268263312816,1.0621153331549371,1.0641557398983141,1.069357104629382,1.0540038801177416,1.074165440192668,1.069315293015788,1.069357104629382,1.0622491303184374,0.0
spec_gobmk_002,1.0724673561474263,1.0718763726390608,1.0699996006868187,1.0694485484965859,1.0606396997164875,1.0763007626881762,1.075613944016292,1.0694485484965859,1.0750549055624326,0.0
server_019,1.103526576259515,1.09501031844441,1.1009093742032352,1.0952848958458181,1.0971742498697936,1.1017418231503617,1.1021754811097284,1.0952848958458181,1.0888802689986858,0.0
server_016,1.4156113763753373,1.4156014907519994,1.4172622754727797,1.4148106408849608,1.4121415225837064,1.4168866217859366,1.4167581086825427,1.4148106408849608,1.4139209347845427,0.0
client_001,1.0397546645362095,1.0435661856493734,1.045280537940447,1.041136132887269,1.0430918260348532,1.042118140510311,1.0416521029942911,1.041136132887269,1.0455967776834607,0.0
spec_gcc_001,1.0288293252090492,1.0279056200168535,1.0274680754521295,1.0270953523044015,1.0247698839696635,1.0327591236144422,1.033204770856291,1.0270953523044015,1.0287888118234265,0.0
spec_gcc_003,1.057427061592433,1.0602246991429458,1.0616323993072516,1.0567076690794441,1.0627869798836538,1.0558905812869133,1.0570051956125937,1.0567076690794441,1.0581198099382743,0.0
spec_perlbench_001,1.0320671465007683,1.0319838945273179,1.0323320391435642,1.0306518629521149,1.0276169501017944,1.0362373135345002,1.0355485926632306,1.0306518629521149,1.0336867758024353,0.0
server_031,1.5399577942930542,1.5403592072667216,1.5414946325350949,1.5396825396825395,1.5421827690613816,1.540863840719332,1.5416666666666665,1.5396825396825395,1.5413570052298375,0.0
server_011,1.3920820186143257,1.391122517290324,1.3944090850438007,1.3807996064941697,1.3402689471182425,1.411823482636886,1.411393361353713,1.3807996064941697,1.3904277059867367,0.0
server_010,1.3115999334054773,1.3213159701989512,1.3196120869058519,1.3197941813035878,1.2882606343128278,1.3113267918088738,1.3153458753017564,1.3197941813035878,1.316971718138683,0.0
server_037,1.6596633280888242,1.6588425410713297,1.6579044987656217,1.6603242215314822,1.6595673919439222,1.6605480725362534,1.6601749875283012,1.6603242215314822,1.6638312206062313,0.0
server_001,1.1762860625761886,1.169817147501016,1.1727265339292972,1.1750832994717595,1.1590735473384803,1.1716294189353922,1.1735960991466885,1.1750832994717595,1.1746850873628607,0.0
spec_gcc_002,1.0311018993745213,1.036209770903565,1.037266571909574,1.0336128257957753,1.0385322754400266,1.0313476670503374,1.0319825668795288,1.0336128257957753,1.0364924037307532,0.0
server_012,1.503452181158191,1.5013340797119383,1.5078504836511746,1.506499653647187,1.453136465169659,1.4990430720251753,1.5020581245940756,1.506499653647187,1.4959847928961472,0.0
server_028,1.5170458388762373,1.5133931591170438,1.5168880070347905,1.513573538364411,1.5141597709183556,1.51402448648283,1.5141935920272374,1.513573538364411,1.515185677887759,0.0
server_013,1.5197221702047974,1.521481304937494,1.5271672823638232,1.5241256816647089,1.472872440033367,1.5260437059861651,1.5233198844645706,1.5241256816647089,1.5293009425557391,0.0
server_014,1.27345358215503,1.272036243377316,1.2729642628151048,1.2727196031451424,1.266215030540276,1.2747696824486214,1.2743731650524754,1.2727196031451424,1.2721121722404076,0.0
client_004,1.0805775667890123,1.0800929706639866,1.0778315220805326,1.077535380004128,1.0637333644432079,1.0983371173709764,1.0980678973015174,1.077535380004128,1.0787468703166925,0.0
client_005,1.0759463507625273,1.0727634803921569,1.0720996732026142,1.0721847766884531,1.0600234885620914,1.0894182325708062,1.089137391067538,1.0721847766884531,1.072261369825708,0.0
server_025,1.5297723951059965,1.533045092072552,1.5332585288312406,1.532089708486042,1.5312664524168156,1.5323031452447307,1.5330247647622008,1.532089708486042,1.531591689382436,0.0
server_026,1.5692159897299036,1.5708099224465575,1.5707129941056799,1.5692052199142505,1.5693775369646998,1.5711114772848431,1.5708314620778636,1.5692052199142505,1.57190844364317,0.0
server_002,1.1203414637663396,1.1203847235340347,1.1204568231468597,1.1200674852376042,1.1203558836889047,1.1202693641535144,1.120305413959927,1.1200674852376042,1.120290994037362,0.0
